FIELD_SAMPLE_ID,LAB_ID,ANALYTICAL_METHOD,ANALYSIS_DATE,PARAMETER_CODE,RESULT_TYPE_CODE,LAB_RESULT,LAB_UNITS,LAB_DETECTION_LIMIT,LAB_MATRIX,LAB_SAMPLE_ID,ANALYSIS_TIME,LAB_QUALIFIER,DILUTION_FACTOR,PREP_METHOD,PREP_DATE,ANALYSIS_LOT_ID,SAMPLE_DELIVERY_GROUP,LAB_BLANK_SAMPLE_ID,UNCERTAINTY,PARAMETER_NAME,ANALYSIS_TYPE_CODE,FILTERED_FLAG,LEACHED_FLAG,LEACHATE_METHOD,LEACHATE_DATE,LEACHATE_TIME,SAMPLE_PREP_LOT_ID,LEACHATE_LOT_ID,PREP_TIME,METHOD_DETECTION_LIMIT,MINIMUM_DETECTABLE_ACTIVITY,SAMPLE_DATE,SAMPLE_PURPOSE,ORIGINAL_LAB_RESULT,SPIKE_ADDED,SPIKED_RESULT,SPIKE_RECOVERY,RPD,RPD_LIMIT,UPPER_LIMIT,LOWER_LIMIT,LAB_RECEIPT_DATE,HARD_COPY_DUE_DATE,RUSH_TAT,LAB_REPORT_DATE,BASIS,PERCENT_MOISTURE,CHAIN_OF_CUSTODY_NO,,,,,,,,
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,MG,TRG,4060,ug/L,300,W,747002002,21:38,,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Magnesium,INIT,N,N,,,,2878014,,7:45,110,,,10/3/2025,REG,4060,ug/L,4060,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,MN,TRG,67.6,ug/L,10,W,747002002,21:38,,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Manganese,INIT,N,N,,,,2878014,,7:45,2,,,10/3/2025,REG,67.6,ug/L,67.6,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:7470A,10/13/2025,HG,TRG,0.067,ug/L,0.2,W,747002002,11:06,U,1,SW-846:7470A Prep,10/10/2025,2878181,747002,1206263011,,Mercury,INIT,N,N,,,,2878179,,12:05,0.067,,,10/3/2025,REG,-0.002,ug/L,0.067,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,NI,TRG,1.5,ug/L,5,W,747002002,21:38,U,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Nickel,INIT,N,N,,,,2878014,,7:45,1.5,,,10/3/2025,REG,0.792,ug/L,1.5,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,K,TRG,2310,ug/L,250,W,747002002,21:38,,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Potassium,INIT,N,N,,,,2878014,,7:45,50,,,10/3/2025,REG,2310,ug/L,2310,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6020B,10/14/2025,SE,TRG,1.5,ug/L,5,W,747002002,13:30,U,1,SW-846:3005A,10/10/2025,2878013,747002,1206262705,,Selenium,INIT,N,N,,,,2878010,,8:05,1.5,,,10/3/2025,REG,0.182,ug/L,1.5,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,SE,TRG,6,ug/L,30,W,747002002,21:38,U,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Selenium,INIT,N,N,,,,2878014,,7:45,6,,,10/3/2025,REG,-3.68,ug/L,6,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,AG,TRG,1,ug/L,5,W,747002002,21:38,U,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Silver,INIT,N,N,,,,2878014,,7:45,1,,,10/3/2025,REG,-0.375,ug/L,1,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,NA,TRG,11800,ug/L,300,W,747002002,21:38,,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Sodium,INIT,N,N,,,,2878014,,7:45,100,,,10/3/2025,REG,11800,ug/L,11800,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,TL,TRG,5,ug/L,20,W,747002002,21:38,U,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Thallium,INIT,N,N,,,,2878014,,7:45,5,,,10/3/2025,REG,0.867,ug/L,5,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
